title,ingredients,instructions,yield,time,notes,author,source_url,error
Summer-Vegetable Casserole,"['Extra-virgin olive oil, for drizzling', '1/2 pound Yukon Gold potatoes, peeled and sliced 1/4 inch thick', 'Salt and freshly ground pepper', '1 yellow bell pepper, thinly sliced', '1 small onion, thinly sliced', '1 large garlic clove, minced', '1 teaspoon thyme leaves', '1/2 pound plum tomatoes, sliced 1/4 inch thick', '2 small zucchini (1/2 pound), sliced on the diagonal 1/4 inch thick', '3 tablespoons freshly grated Parmigiano-Reggiano cheese']","['Preheat the oven to 350°. Coat a 9-inch baking dish with olive oil. Spread the potatoes in the dish in an even layer; drizzle with oil and season with salt and pepper.', 'In a bowl, combine the bell pepper, onion, garlic and thyme and season with salt and pepper. Arrange two-thirds of the bell pepper mixture over the potatoes and drizzle with oil.', 'Top with the tomatoes and the zucchini; drizzle with oil and season with salt and pepper. Cover with the remaining bell pepper mixture and sprinkle with the cheese.', 'Cover the casserole with foil and bake for 40 minutes. Increase the oven temperature to 425°. Uncover the casserole and bake for about 20 minutes longer, until the vegetables are tender and glazed on top.', 'Let stand for 10 minutes. Serve warm.']",4,"{'prep': '15 mins', 'cook': '1 hr 10 mins', 'total': '1 hr 25 mins'}",,Sextantio hotel,https://www.foodandwine.com/recipes/summer-vegetable-casserole,
Braised Leeks With Lemon and Parsley,"['4 large leeks, trimmed and halved lengthwise', '2 tablespoons olive oil', '1/2 cup dry white wine', '1 cup chicken or turkey broth', '2 tablespoons unsalted butter', 'Salt and freshly ground black pepper', '1 lemon, juiced', '2 tablespoons chopped fresh parsley']","['Preheat your oven to 325°F (163°C).', 'Heat olive oil in a large oven-safe skillet over medium-high heat.', 'Place leeks cut side down in the skillet and cook until browned, about 5 minutes.', 'Add white wine and broth to the skillet, then add butter.', 'Season with salt and pepper to taste.', 'Bring the liquid to a simmer, then transfer the skillet to the oven.', 'Braise the leeks in the oven until tender, about 30 minutes.', 'Remove from the oven and drizzle with lemon juice.', 'Sprinkle with chopped parsley before serving.']",Serves 4,"{'prep': '10 minutes', 'cook': '35 minutes', 'total': '45 minutes'}","For enhanced sweetness, brown the leeks cut side down before adding the braising liquid.",J. Kenji López-Alt,http://www.seriouseats.com/recipes/2011/11/braised-leeks-with-parsley-and-lemon-recipe.html,
,[],[],,"{'prep': None, 'cook': None, 'total': None}","Access to the webpage was denied, so the recipe details could not be retrieved.",,http://www.thekitchn.com/slow-cooker-rec-160583,
Cold Rice Noodles with Peanut-Lime Chicken,"['1 pound boneless, skinless chicken thighs', '1 tablespoon fresh lime juice', '1 tablespoon fish sauce', '1 tablespoon soy sauce', '1 tablespoon brown sugar', '1 tablespoon minced fresh ginger', '2 cloves garlic, minced', '8 ounces rice noodles', '1/4 cup peanut butter', '2 tablespoons soy sauce', '2 tablespoons fresh lime juice', '2 tablespoons rice vinegar', '1 tablespoon minced fresh ginger', '1 to 2 teaspoons chili paste or 1 to 2 serrano chiles, minced', '1/4 cup chopped roasted peanuts', '1/2 cup chopped fresh mint, basil, and/or cilantro', '1 cucumber, julienned', '2 carrots, julienned', '4 scallions, thinly sliced']","['Marinate the chicken: In a bowl, combine lime juice, fish sauce, soy sauce, brown sugar, ginger, and garlic. Add chicken and marinate for at least 30 minutes.', 'Cook the chicken: Grill or broil the chicken until cooked through, about 5-7 minutes per side. Let cool and chop into bite-sized pieces.', 'Cook the noodles: Prepare rice noodles according to package instructions. Drain and rinse under cold water.', 'Make the peanut sauce: In a bowl, whisk together peanut butter, soy sauce, lime juice, rice vinegar, ginger, and chili paste or minced chiles.', 'Assemble the dish: In a large bowl, combine noodles, chicken, cucumber, carrots, scallions, and herbs. Toss with peanut sauce until well coated.', 'Serve: Garnish with chopped peanuts and additional herbs, if desired.']",4 servings,"{'prep': '30 minutes', 'cook': '15 minutes', 'total': '45 minutes'}","The original recipe suggested using lemongrass and mung bean sprouts, but this adaptation omits them for simplicity. Adjust the amount of chiles based on your heat preference.",Deb Perelman,https://smittenkitchen.com/2012/06/cold-rice-noodles-with-peanut-lime-chicken/,
Slow-Cooker Beef Ragu,"['1 medium yellow onion, diced small', '3 garlic cloves, minced', '6 tablespoons tomato paste', '3 tablespoons chopped fresh oregano leaves (or 3 teaspoons dried)', '1 beef chuck roast (4 pounds), halved', 'Coarse salt and ground pepper', '1 to 2 tablespoons red-wine vinegar']","['In a 5-to-6-quart slow cooker, combine onion, garlic, tomato paste, and oregano. Season roast with salt and pepper and place on top of onion mixture.', 'Add 2 cups water, cover, and cook on high until meat is tender and can easily be pulled apart with a fork, 4 1/2 hours (or 9 hours on low). Let cool 10 minutes, then shred meat in slow cooker with 2 forks and stir in vinegar to taste.']",6 servings,"{'prep': '10 mins', 'cook': '4 1/2 hours on high or 9 hours on low', 'total': '5 hrs'}","Served over pasta or polenta, or in sandwich rolls, this simple meat dish becomes a star.",Martha Stewart,http://www.marthastewart.com/891902/slow-cooker-beef-ragu,
Monte Cristo Strata,"['Softened butter', 'One 1 1/4-pound loaf bakery white bread—crusts removed, bread sliced (about 18 slices)', '1/4 cup grainy mustard', '1 pound thinly sliced Virginia ham', '2 tablespoons chopped tarragon, plus more for garnish', '3/4 pound Gruyère cheese, coarsely shredded (3 cups)', '3 cups milk', '4 large eggs', 'Freshly ground black pepper']","['Preheat the oven to 375° and butter a 9-by-13-inch glass or ceramic baking dish. Arrange one-third of the bread in the bottom of the dish and spread with half of the mustard. Top with half of the ham, 1 tablespoon of the tarragon and one-third of the Gruyère cheese. Repeat the layering, leaving off the last layer of cheese.', 'In a medium bowl, whisk the milk with the eggs and season generously with black pepper. Pour the custard evenly over the dish, pressing the bread to absorb the liquid. Pat the remaining cheese on top and cover with a sheet of buttered parchment paper.', 'Bake the strata in the center of the oven for 30 to 35 minutes, until bubbling and browned around the edges. Remove the parchment and turn on the broiler. Broil for about 3 minutes, just until the top is golden and bubbling. Let rest for 10 minutes, then cut the strata into squares and serve.']",8,"{'prep': '10 mins', 'cook': '30 to 35 mins', 'total': '1 hr'}","['The unbaked strata can be refrigerated overnight.', 'Suggested Pairing: Fruity sparkling wine: NV Col Mesian Nove Cento Dieci Spumante Extra Dry.']",Grace Parisi,https://www.foodandwine.com/recipes/monte-cristo-strata,
Crab Maison,"['1/2 cup mayonnaise', '2 tbsp. high quality olive oil', '2 tsp. white wine vinegar', '1 tsp. Creole or Dijon mustard', '1 tsp. small capers, rinsed, drained, and finely chopped', '1/2 tsp. finely chopped flat-leaf parsley', '1/2 tsp. kosher salt', '1/8 tsp. freshly ground white pepper', '3 green onions, finely chopped', '1 lb. jumbo lump crab meat', '12 large leaves butter lettuce', '4 slices tomato, halved']","['Whisk together mayonnaise, oil, vinegar, mustard, capers, parsley, salt, pepper, and scallions.', 'Add crabmeat and fold gently to combine.', 'Place 3 leaves of lettuce on each of 4 salad plates.', 'Divide crab mixture evenly among plates and garnish with two half slices of tomato.']",serves 4,"{'prep': None, 'cook': None, 'total': None}","A popular appetizer at Galatoire's restaurant in New Orleans, this light and satisfying salad is a great lunch on Mardi Gras with crusty French bread.",Anna Stockwell,https://www.saveur.com/article/Recipes/Crab-Maison/,
World's Easiest Falafel and Tzatziki,"['2 cups dried chickpeas, rinsed well and soaked overnight', '1 small yellow onion', '3 cloves garlic, divided', '1 bunch mint, washed, divided', '1/2 bunch cilantro, rinsed and coarsely chopped', '1 egg (optional)', '1 piece bread', '2 pinches salt', '1/2 teaspoon fresh ground black pepper', '2 teaspoons ground cumin', '2 lemons, juiced, divided', '1 cup canola oil, for frying', '1 cucumber, peeled and seeded', '1 cup plain yogurt, Greek-style preferred', 'Salt and pepper to taste', '1 package pita or flatbread']","['Drain chickpeas and let air dry for 2 hours, or more.', 'Process chickpeas, onion, 2 cloves garlic, half bunch mint, cilantro, egg, bread, salt and pepper, cumin, and half the lemon juice on low speed until a thick paste forms. No chunks or your falafel balls will fall apart.', 'Form into 3-inch patties and let rest while tzatziki is made.', 'Rinse processor and pulse cucumber, yogurt, remaining mint, remaining lemon juice, and the last garlic clove on low just until blended. Season with salt and pepper to taste.', 'Heat the canola oil in a high-sided, heavy-bottomed pan. When hot, fry patties on medium high heat for 3 minutes each side or until golden brown.', 'Serve with warm pita or flatbread.']",Serves 4 to 6,"{'prep': '27 hours', 'cook': '1 hour', 'total': '28 hours'}","The recipe is noted as being easy and suitable for making with children. The food processor is used for both the falafel mixture and tzatziki, making the process efficient.",marisab67,https://food52.com/recipes/11921-world-s-easiest-falafel-and-tzatziki,
Momofuku's Roasted Brussels Sprouts With Fish Sauce Vinaigrette,"['2 tablespoons very thinly sliced cilantro stems, plus 1/2 cup leaves', '3 tablespoons chopped mint', '2 pounds brussels sprouts (smaller ones are better)', '2 tablespoons grapeseed or other neutral oil (or 3 cups if frying instead of roasting)', '1/2 cup fish sauce (adjust to taste -- some fish sauce brands are saltier)', '1/4 cup water', '2 tablespoons rice wine vinegar', '2 tablespoons lime juice (from 1 lime)', '1/4 cup sugar', '1 garlic clove, minced', '2 red bird’s-eye chiles, thinly sliced, seeds intact']","['Combine the vinaigrette (below), cilantro stems, and mint in a bowl, and set aside.', 'Peel away any loose or discolored outer leaves, trim the dry end of the stems with a knife, and cut the sprouts in half. Cut any especially large ones in quarters. Do not wash, especially if frying the sprouts. If roasting, and you must, dry very well.', ""To roast the brussels sprouts (recommended): Heat the oven to 400 degrees F. Heat 2 tablespoons grapeseed oil (or just enough to evenly coat the bottom of the pan) in 2 oven-safe wide skillets (12 to 14 inches) over medium heat. When the oil slides easily from side to side of the pan, add the brussels sprouts cut side down. When the cut faces of the sprouts begin to brown, transfer the pan to the oven to finish cooking, about 15 minutes. Alternately, if you don't have 2 large skillets or are cooking more sprouts for a larger crowd, roast them in the oven: toss them with 1 tablespoon of oil per pound and spread them on a baking sheet, cut sides down. Roast in the oven, checking for browning every 10-15 minutes, tossing them around with a spatula only once they start to brown nicely. The sprouts are ready when they are tender but not soft, with nice, dark brown color."", 'To fry the brussels sprouts: Heat 1 1/2 inches of oil in a deep saucepan over medium-high heat until a deep-fry or instant-read thermometer registers 375°F. Line a plate with paper towels. Fry in batches that don’t crowd the pan -- be careful, these will pop and spatter. Brussels sprouts will take about 5 minutes: when the outer leaves begin to hint at going black around the edges—i.e., after the sprouts have sizzled, shrunk, popped, and browned but before they burn—remove them to a paper towel–lined plate or tray.', 'Serve warm or at room temperature. When ready to serve, divide the brussels sprouts among four bowls (or serve it all out of one big bowl), top with the dressing to taste and cilantro leaves, and toss once or twice to coat.', 'Combine the fish sauce, water, vinegar, lime juice, sugar, garlic, and chiles in a jar. Taste; If too salty, add more water and/or lime juice. This vinaigrette will keep for up to a week in the refrigerator.']","Serves 4 to 6, as a side","{'prep': '20 minutes', 'cook': '35 minutes', 'total': None}","This recipe will add much-needed spark to your winter diet (and your Thanksgiving spread). Adapted lightly from Momofuku by David Chang and Peter Meehan (Clarkson Potter, 2009).",Genius Recipes,https://food52.com/recipes/19682-momofuku-s-roasted-brussels-sprouts-with-fish-sauce-vinaigrette,
Kale Caesar with Rye Croutons and Farro,"['Kale', 'Rye croutons', 'Farro', 'Roasted garlic', 'Vinegar', 'Mustard', 'Worcestershire sauce', 'Mayonnaise', 'Toasted sesame oil', 'Soy sauce', 'Peanut butter', 'Rice wine vinegar', 'Honey', 'Nutritional yeast', 'Orange juice', 'Shallot', 'Garlic', 'Miso', 'Sesame seeds', 'Brown sugar', 'Yogurt', 'Red wine vinegar', 'Crushed red pepper', 'Tahini', 'Ginger', 'Sunflower seeds', 'Za’atar']","['Puree roasted garlic with vinegar, mustard, Worcestershire, and a little mayo for a creamy garlic dressing.', 'Combine toasted sesame oil, soy sauce, peanut butter, and rice wine vinegar for a nutty sesame dressing.', 'Mix vinegar, orange juice, mustard, shallot, and garlic for a citrus dressing.', 'Whisk miso with vinegar, sesame seeds, oil, and brown sugar for a miso dressing.', 'Blend garlic, red wine vinegar, yogurt, and crushed red pepper for a spicy yogurt dressing.', 'Mix tahini and ginger for a sesame-based tahini-ginger dressing.', 'Blend sunflower seeds with za’atar for a creamy sunflower seed vinaigrette.']",Varies depending on dressing choice,"{'prep': '10-15 minutes', 'cook': 'None', 'total': '10-15 minutes'}",These dressings pair perfectly with kale and its accompaniments. Make a double batch of the tahini-ginger dressing to have enough for a full week of easy lunches.,Kristin Donnelly,http://www.foodandwine.com/recipes/kale-caesar-with-rye-croutons-and-farro,
Summer Guide 2013 - Beachcomber’s Handbook,[],[],,"{'prep': None, 'cook': None, 'total': None}",The content provided does not contain a recipe. It is an article about the state of beaches post-Hurricane Sandy.,"Matthew Giles, Hana R. Alberts, Annie Karni",http://nymag.com/guides/summer/2013/beach-handbook/?mid=twitter_nymag,
Pkhali (Spinach and Walnut Salad),"['Kosher salt and freshly ground black pepper, to taste', '1 1/2 lb. baby spinach', '1 1/2 cups toasted walnuts', '1/2 cup roughly chopped cilantro', '1/2 cup roughly chopped parsley', '1 tsp. hot paprika', '1/2 tsp. ground turmeric', '1/2 tsp. ground fenugreek', '3 tbsp. olive oil', '2 tbsp. red wine vinegar', '2 cloves garlic, roughly chopped', '1 small yellow onion, roughly chopped', 'Pomegranate seeds, for garnish']","['Bring a large pot of salted water to a boil. Add spinach; cook until wilted, about 1 minute.', 'Using a slotted spoon, transfer spinach to a bowl of ice water; drain and squeeze out as much water as possible.', 'Transfer to a food processor; purée until almost smooth, 1-2 minutes, and transfer to a bowl.', 'Add walnuts, cilantro, parsley, paprika, turmeric, fenugreek, oil, vinegar, garlic, onions, salt, and pepper to the food processor; purée until very smooth.', 'Mix walnut purée and spinach together; transfer to a serving platter and garnish with pomegranate seeds.']",serves 4-6,"{'prep': None, 'cook': None, 'total': None}","Almost any vegetable can be substituted for spinach in this vegetarian appetizer. In Georgia, roasted beet and green bean versions are common.",Landon Nordeman,http://www.saveur.com/article/Recipes/Pkhali-Spinach-and-Walnut-Salad/,
